View monetary and non-monetary YouTube Analytics reports for your YouTube content	Monetäre und nicht monetäre YouTube Analytics-Berichte für YouTube-Inhalte abrufen
View YouTube Analytics reports for your YouTube content	YouTube Analytics-Berichte für deinen YouTube-Content abrufen
View your Google Tag Manager container and its subcomponents	Google Tag Manager-Container und die entsprechenden Unterkomponenten abrufen
Manage user permissions of your Google Tag Manager account and container	Nutzerberechtigungen für Google Tag Manager-Konten und -Container verwalten
Publish your Google Tag Manager container versions	Google Tag Manager-Containerversionen veröffentlichen
View and manage creatives and campaigns for DoubleClick Studio	Creatives und Kampagnen für DoubleClick Studio abrufen und verwalten
Delete your Google Tag Manager containers	Google Tag Manager-Container löschen
View creatives and campaigns for DoubleClick Studio	Creatives und Kampagnen für DoubleClick Studio abrufen
View and manage your Google Tag Manager accounts	Google Tag Manager-Konten abrufen und verwalten
Tap a match to see scores, stats, and more	Tippe auf ein Spiel, um Punkte, Statistiken und vieles mehr zu sehen
Type a name, phone, or email	Name, Telefonnummer oder E-Mail-Adresse eingeben
This site may be hacked.	Diese Website wurde möglicherweise gehackt.
Update your featured image on Search	In der Google-Suche angezeigtes Bild aktualisieren
Saved items will be added to this collection	Gespeicherte Bilder werden dieser Sammlung hinzugefügt
Open in Google Podcasts	In Google Podcasts öffnen
Your Site on Google	Deine Website bei Google
Your activity, while you were signed in to Google.	Deinen Aktivitäten, während du bei Google angemeldet warst
Add a Finance shortcut to your Home screen	Dem Startbildschirm Verknüpfung zu Google Finanzen hinzufügen
How your saved activity is used	So werden Ihre gespeicherten Aktivitätsdaten verwendet
To let Google save this information:	So kann Google diese Informationen speichern:
Your Chrome browsing history	Ihren Browserverlauf in Chrome
Information on your device like recent apps or contact names you searched for	Gerätedaten wie zuletzt verwendete Apps oder von Ihnen gesuchte Namen von Kontakten
See or delete your search activity	Suchaktivitäten einsehen oder löschen
*Not all languages are supported.	* Nicht alle Sprachen werden unterstützt.
Therefore, these pages are no longer accessible from Google search.	Daher sind diese Seiten nicht mehr über die Google-Suche verfügbar.
Watch the most memorable moments of the tournament	Hier kannst du dir die unvergesslichsten Momente des Turniers ansehen
Add a missing place to Google Maps.	Füge einen fehlenden Ort zu Google Maps hinzu.
Computer and smartphone-only users	Reine Computer- und Smartphone-Nutzer
